id,labels.uz.value,labels.bs.value,labels.is.value,labels.sq.value,labels.tg.value,labels.mn.value,labels.zh-tw.value,labels.hi.value,labels.te.value,labels.gu.value,labels.ka.value,labels.kk.value,labels.lv.value,labels.bn.value,labels.kn.value,labels.et.value,labels.sl.value,labels.az.value,labels.ta.value
Q1515,,,,,Абиджан,Абижан,阿必仁,आबिडजान,అబిద్ జాన్,અબિદ્જાન,,,Abidžana,আবিদজান,ಅಬಿಜಾನ್,,,Abican,
Q1519,,,,,,,阿布扎比,,అబూ దాబీ,અબુ ધાબી,აბუ-დაბი,,,,,,,,அபுதாபி
Q3761,,,,,,Акра,阿克拉,एकरा,ఆక్రా,અક્રા,,Аккра,,,,,,,
Q3624,,,,Adis Abeba,Аддис Абеба,,阿迪斯阿貝巴,एडिस अबाबा,,અદીસ અબાબા,,,,,,,,,
Q5112,,Adelaide,,Adelaide,Аделаида,Аделаид,阿得雷德,,,એડિલેડ,,,,,,,,,
Q797,Alyaska,,,,,,阿拉斯加州,,,,,Аляска,,,,,,,
Q3561,,,Algeirsborg / Álfgeirsborg,Algjer,,Алжир,阿爾及爾,,ఆల్జీర్స్,અલ્જીયર્સ,,,,,ಅಲ್ಜೀಯರ್ಸ್ ,,,,
Q35493,,,,Almati,,,阿拉木圖,,ఆల్మాటీ,અલ્માટી,,,,আলমেটি,ಅಲ್ಮಾಟಿ,,Almati,,
Q18970,,Ambon,Ambon,Ambon,Амбон,Амбон,安汶,एम्बोन,అంబోన్ ,અમ્બોન,ამბონი,Амбон,Ambona,অম্বন,ಅಂಬೋನ್ ,Ambon,Ambon,Ambon,அம்பான்
Q3805,,,,Aman,,,安曼,,అమ్మన్ ,અમ્માન,,,,,,Amman,,,
Q727,,,,Amsterdam,,,,एम्स्टर्डम,,એમ્સ્ટર્ડમ,,,,অ্যামস্টার্ডাম,ಆಮ್‌ಸ್ಟರ್‌ಡ್ಯಾಂ,,,,எம்ஸ்டர்டம்
Q7978,,Anadyr,Anadyr,Anadir,Анадир,Анадырь,阿納德爾,अन्नादिर,అనాడిర్,આનાડેર,ანადირი,Анадырь,,অ্যানাডির,ಅನಡೈರ್,,,,அநாதிர்
Q39450,,,,Ankorixh,Анкориҷ,Анкораж,安克拉治,एंकरेज,ఆంకరేజ్,આંકરેજ,,Анкоридж,,অ্যাঙ্কোরেজ,ಆಂಕರೇಜ್,,,,ஏன்கரேஜ்
Q519873,Anegada,Anegada,Anegada,Anegada,Анигада,Анегада,阿內加達島,अनिगाडा,అనెగడా,અનેગાડા,ანეგადა,Анегада,Anegada,অ্যানেগাদা,ಅನೆಗಾಡ,Anegada,Anegada,Aneqada,அனேகாடா
Q3640,,,,,,,安卡拉,,,અંકારા,,,,আংকারা,ಅಂಕರ‍,,,,அன்கரா
Q3915,,,,,,,安塔那那利佛,एंटानानरीवो,ఆంటానానారివో,અન્ટાનાનરિવો,,Антананариву,,আন্তানানারিভো,ಅಂಟಾನಾನಾರಿವೊ,,,,
Q23438,,,,Ashgabat,,,阿什哈巴特,अश्गबात,,અશગબાત,,,,আশগাবাত,ಅಶ್ಗಾಬಾಟ್,,,,அஷ்கபாட்
Q3642,,,,,,,阿斯馬拉,अस्मारा,అస్మారా,અસ્મારા,,Асмэра,,আসমারা,ಅಸ್ಮಾರಾ,,,,
Q1520,,,,,,,阿斯塔納,,,અસટાના,,Астана,,,ಅಸ್ಟಾನ,,,,அஸ்டானா
Q2933,Asunsyon,,,Asunsion,,Асунсион,亞松森,असुन्सियोन,అసున్సియా,એસુનસિયોન,,,,আসুনচিয়ান,ಅಸೂನ್‌ಫಿಯಾನ್,,Asuncion,Asunsyon,அஸுன்ஸியோன்
Q1524,,,,,Афина,,雅典,,,એથેન્સ,,Афины,,এথেন্স,,,,,அதென்ஸ்
Q23556,,,,,,,亞特蘭大,एटलांटा,,,,,,,,,,,
Q37100,,Auckland,,Okland,Авкланд,,奧克蘭,ऑकलैंड,,,,Окленд,,,‍ಒಕ್ಲೆಂಡ್‌,,,,
Q16559,,,,Ostin,Австин,,奧斯丁,,ఆస్టిన్,ઓસ્ટિન,,,,,ಆಸ್ಚಿನ್ ,,,,
Q25263,,Azores,,,Озур,Азорын арлууд,亞速群島,एज़ोरेस,అజోరెస్,એઝોર્સ,,,,অ্যাজোরেস,ಅಝೊರ್ಸ್,,,,அஸோர்ஸ்
Q3350694,Bog'bozor,Bagbazar,Bagbazar,Bagbazar,Боғбозор,Баг Базар,巴格市场,बागबाजार ,బాగ్ బజార్,બગબઝાર,ბაგბაზარი,Багбазар,Bagbazāra,বাঘবাজার,ಬಾಗ್ ಬುಝಾರ್,Baghbazaar,Bagbazar,Bağbazar,பக்பஸார்
Q1530,,,,,,,巴格達,,,બગદાદ,,,,,,,,,பக்தாத்
Q9248,,,,,,,巴庫,,,બાકૂ,,,,,,,,,
Q5092,,,,,Балтимор,Балтимор,巴爾的摩,,బాల్టిమోర్,બાલ્ટીમોર,,,,,ಬಾಲ್ಟಿಮೋರ್,,Baltimore,,
Q3703,,,,,,Бамако,巴馬科,,బమాకో,બામાકો,,,,বামাকো,ಬಮಾಕೋ,,,,
Q1355,,Bangalore,,Bangalore,,Бангалор,班加羅爾,,,,,Бангалор,,ব্যাঙ্গালোর,,,,,பெங்களூர்
Q1861,,,,,,,曼谷,,,બેંગકોક,,,,,,,,,பெங்காக்
Q3832,,,,,,Банги,班基,बैंगुई,,બાન્ગુઈ,,,,বাঙ্গুই,ಬಾಂಗಿ,,Bangui,Banqi,
Q1492,Barselona,,Barcelóna,,,,巴薩隆拿,,బార్సిలోనా,બાર્સિલોના,,,,,,,,,
Q3519,,,Bár,,Бари,Бари,巴里,,బారి,બારી,,,,,ಬಾರಿ,,,,பாரி
Q167024,Bas-Ter,,,Base-Terre,Бас-Тер,Бас-Тер,,बास-टेयर,బాసీ-టెర్రీ,બસ્સે-ટેર,,,,বাসে-ট্যারী,ಬಾಸ್ಟೆರ್,,,Bas-Ter,பாஸ்-டெர்
Q956,,,,,,,北京,,,બેઈજિંગ,,,,,,,,,
Q3820,,,,Beirut,,,貝魯特,बेरूत,బేరూత్,બેરૂત,,,,,,,,,பேய்ருட்
Q3711,,,,,,,貝爾格萊德,बेलग्रेड,,બેલગ્રેડ,,,,,ಬೆಲ್ಗ್ರೇಡ್,,,,பெல்க்ரேட்
Q242,,,,Belize,,,伯利茲,,,બેલીઝ,,,,,,,,,பலீஸ்
Q64,,,,,,,,,,બર્લિન,,,,,,,,,
Q70,,,,,,,,,,બર્ન,,,,বার্ণ,,,,,பெர்ன்
Q9361,,,,,,,比斯凱克,,బిష్కెక్,બિશ્કેક,,,,,,,,,பிஷ்கெக்
Q3739,,,,Bisau,,Биссау,比紹,,బిసావు,બિસ્સૌ,,Бисау,,,ಬಿಸೌ,,,,பிஸௌ
Q2841,,,,Bogota,Богота,,波哥大,,బోగోటా,બોગોટા,,,,বোগোটা,ಬೊಗೋ‍ಟಾ,,,,
Q1891,,,,,,Болонья,博洛尼亞,बोलोना,బోలోన్య ,બોલોગ્ના,,,,বলোগনা,ಬೊಲೋನಾ,,,,பொலோஞா
Q100,,,,,,,,,,,,,,বোস্টন,ಬೊಸ್ಟನ್,,Boston,,
Q2844,,,,,Бразилия,,,,బ్రసీలియా,બ્રાજ઼િલિયા,,,,,,,,Braziliya,ப்ரஸிலியா
Q1780,,,,Bratislava,,,布拉提斯拉瓦,ब्रातिस्लावा,,બ્રાટિસ્લાવા,,,,ব্রাটিস্লাভা,,,,,ப்ரதிஸ்லாவா
Q36168,Bridjtaun,,,Brixhtaun,Бриҷтаун,Брижтаун,橋鎮,,బ్రిడ్జిటౌన్,બ્રિજટાઉન,ბრიჯთაუნი,Бриджтаун,,ব্রিজটাউন,ಬ್ರಿಡ್ಜ್ ಟೌನ್,,,,ப்ரிஜ்டவுன்
Q34932,,,,Brisbejn,Брисбен,,布里斯本,,,બ્રિસ્બેન,,,,,,,,,ப்ரிஸ்பேன்
Q239,,,,,,Брюссель,布魯塞爾,ब्रुसेल्स,,બ્રસેલ્સ,,,,ব্রাসেলস,ಬ್ರಸ್ಸೆಲ್ಸ್,,Bruselj,,ப்ரஸல்ஸ்
Q19660,Buharest,,,,,,布加勒斯特,,బుకారెస్ట్,બુકારેસ્ટ,,,,,,,,,
Q1781,,,,,,,布達佩斯,,,,,,,,,,,,
Q1486,,,Búanos Aíres,,,,,ब्यूनस आयर्स,బ్యూనస్ ఏరెస్,બ્યુનોસ એરેસ,,,,বুয়েন্সআইরেস,,,,,
Q85,,,,,,,,,,કાઈરો,,Каир,,,,,,,கைரோ
Q36312,,Kaljari,,Kalgari,,,卡加利,कैलगेरी,,કેલગરી,,,,কালগেরি,,,,,
Q5813,,,,,Ҷазираҳои Канарӣ,Канарын Арлууд,加那利群島,कैनरी द्वीपसमूह,,કેનેરી આઈલેન્ડ,,,,ক্যানারিদ্বীপপুঞ্জ,ಕೆನರಿ ದ್ವೀಪಗಳು,,,,கேனரி ஐலன்ட்ஸ்
Q3114,,,,Kanberra,,,坎培拉,,కాన్బెరా,કૅનબેરા,,,,,ಕ್ಯಾನ್ಬೆರ್ರಾ,,,,கேன்பெரா
Q5465,,,,Kejp Taun,Кейп Таун,,開普敦,,కేప్ టౌన్,કેપ ટાઉન,ქეიფთაუნი,,,,,,Cape Town,,கேப் டவுன்
Q1533,,,,,Каракас,,卡拉卡斯,कराकास,కారకాస్,કરાકસ,,Каракас,,,,,,,கராகஸ்
Q10690,,,,,Кордиф,,卡地夫,,కార్డిఫ్,કાર્ડિફ,,,,,ಕಾರ್ಡಿಫ್,,,,
Q7903,,,,Kasablanka,Касабланка,Касабланка,卡薩布蘭卡,कासाब्लांका,,કૈસાબ્લાન્કા,,,,,,,,,கஸாப்ளான்கா
Q3883,Katanzaro,,Catanzaró,,Катанзаро,Катанзаро,卡坦扎羅,कैटेनजैरो,కాటాంజారో,કાટાનઝારો,,,,কাটানজারো,ಕಟನ್ಝಾರೋ,,Catanzaro,,கேடன்ஸாரோ
Q44401,Kayenna,,,Kajene,Кайенна,Каейнна,開雲,केयेन,కేయిన్,કૈયેને,კეიენი,Кан,,কাইন্নে,ಕೈನ್ ,,Cayenne,Kayenna,
Q92161,Changchun,,Changchun,Çangçun,Чанчун,,,,చాంగ్చున్,ચાન્ગ્ચુન,ჩანჩუნი,Чанчунь,,চ্যাংচুন,ಚಂಗ್‌ಚುನ್,,Changchun,Çanqçun,சேங்சுன்
Q16565,Sharlot,Charlotte,,Sharlot (Karolina Veriore),Шарлотта,Шарлотт,,शार्लोट,షార్లోట్,શેર્લોટ,,Шарлотт,,,ಷಾರ್ಲೆಟ್,,Charlotte,,ஷார்லட்
Q51681,Sharlot Amali,,Charlotte Amalie,Sharlot Amalie,Шарлотта Амалия,Шарлотт Амали,夏洛特阿馬利亞,शार्लोट अमाली,షాార్లోట్ అమేలీ,શેર્લોટ અમલિયા,შარლოტ-ემალიე,,,শার্লট অ্যামেলিয়া,ಷಾರ್ಲೆಟ್ ಅಮೆಲಿಯಾ,Charlotte Amalie,,,ஷார்லட் அமால்யா
Q906,,Chelyabinsk,Tsjeljabínsk,Sheliabinsk,Челябинск,,車里雅賓斯克,,షెల్యాబిన్స్,ચેલ્યાબિન્સ્ક,,,,চ্যালিয়াবিনস্ক,ಚೆಲ್ಯಾಬಿನ್ಸ್ಕ್ ,,,,
Q30002,,Chengdu,Chengdu,Çengdu,Чэнду,,成都,,చెంగ్డూ,ચેંગ્ડૂ,ჩენდუ,Чэнду,,চ্যাংদু,ಚೆಂಗು‍ದು,,Chengdu,Çenqdu,
Q1352,Chennay,,,Çenai,Ченнай,,,,,ચેન્નાઈ,,Ченнай,,,,,,,
Q1297,Chikago,,,Çikago,,,,,,શિકાગો,,,,,,,,,ஷிகாகோ
Q21197,,,,Kisinau,,,奇西瑙,,,કીશિનેવ,,,,চিসিনাউ,ಚಿಸಿನಾವ್,,,,சிஷினௌ
Q53139,Chita,Chita,Tsjíta,Çita,Чита,,赤塔,चिता,చిటా,ચીટા,,Чита,,চিটা,ಚೀಟ ,,Čita,,சிதா
Q11725,,Chongqing,,Çongqing,Чунсин,,重慶,चोंगकिंग,చాంగ్ కింగ్,ચૉંગકિંગ,ჩუნცინი,Чунцин,,চোংকিং,ಚಾಂಗ್‍ಕಿಂಗ್ ,,Chongqing,,
Q37320,Klivlend,Cleveland,,Klivland,,Кливленд,克里夫蘭,क्लीवलैंड,క్లీవ్ లాండ్,ક્લેવલેન્ડ,,Кливленд,,ক্লিভল্যান্ড,ಕ್ಲೀವ್‌ಲ್ಯಾಂಡ್,,,,க்லீவ்லேன்ட்
Q35381,,,Colombo,Kolombo,,,可倫坡,,,,,Коломбо,,,,,Kolombo,,கொலோம்போ
Q16567,Kolumbus,,,Kolumbus,Колумб,Колумбус,哥倫布,कोलंबस,కొలంంబస్,કોલંબસ,,,,,ಕೊಲಂಬಸ್,,,,
Q3733,,,,,,Конакри,,कोनाक्री,కోనాక్రీ,કોનાક્રી,,Конакри,,,ಕೊನಾಕ್ರಿ,,,,
Q1748,,,,,,,哥本哈根,,,કોપનહેગન,,,,,ಕೋಪನ್ ಹ್ಯಾಗನ್,,Kopenhagen,,கோபன்ஹேகன்
Q36647,Kork,Cork,,Kork,Корк,Корк,科克,कॉर्क,కోర్క్,કૉર્ક,,Корк,,কর্ক,ಕಾರ್ಕ್ ,,,Kork,கோர்க்
